Year
CA Ingram (DC),2019-2019,12,12,2,184,47,18.40,154,119.48,-,-,-,20,5,2019
KH Pandya (MI),2019-2019,16,15,4,183,42,16.63,150,122.00,-,-,1,18,5,2019
SN Khan (KXIP),2019-2019,8,5,1,180,67,45.00,143,125.87,-,1,-,19,4,2019
N Pooran (KXIP),2019-2019,7,6,-,168,48,28.00,107,157.00,-,-,-,9,14,2019
Mandeep Singh (KXIP),2019-2019,13,12,8,165,33*,41.25,120,137.50,-,-,1,10,4,2019
KM Jadhav (CSK),2019-2019,14,12,3,162,58,18.00,169,95.85,-,1,1,19,3,2019
R Parag (RR),2019-2019,7,5,-,160,50,32.00,126,126.98,-,1,-,17,5,2019
KS Williamson (SRH),2019-2019,9,9,2,156,70*,22.28,130,120.00,-,1,-,12,5,2019
SP Narine (KKR),2019-2019,12,9,1,143,47,17.87,86,166.27,-,-,-,17,9,2019
RA Tripathi (RR),2019-2019,8,7,1,141,50,23.50,118,119.49,-,1,-,13,2,2019
BA Stokes (RR),2019-2019,9,9,3,123,46,20.50,99,124.24,-,-,1,8,4,2019
Mohammad Nabi (SRH),2019-2019,8,7,1,115,31,19.16,76,151.31,-,-,-,8,7,2019
AR Patel (DC),2019-2019,14,12,6,110,26,18.33,88,125.00,-,-,1,10,3,2019
RA Jadeja (CSK),2019-2019,16,9,6,106,31*,35.33,88,120.45,-,-,-,7,4,2019
Ishan Kishan (MI),2019-2019,7,6,-,101,28,16.83,100,101.00,-,-,-,8,4,2019
Gurkeerat Singh (RCB),2019-2019,3,3,-,98,65,32.66,70,140.00,-,1,-,11,2,2019
Yuvraj Singh (MI),2019-2019,4,4,-,98,53,24.50,75,130.66,-,1,-,7,6,2019
SM Curran (KXIP),2019-2019,9,8,4,95,55*,23.75,55,172.72,-,1,1,13,3,2019
SO Hetmyer (RCB),2019-2019,5,5,-,90,75,18.00,73,123.28,-,1,1,4,7,2019
WP Saha (SRH),2019-2019,5,5,-,86,28,17.20,53,162.26,-,-,-,13,1,2019
C Munro (DC),2019-2019,4,4,-,84,40,21.00,70,120.00,-,-,-,9,4,2019
MJ Guptill (SRH),2019-2019,3,3,-,81,36,27.00,53,152.83,-,-,-,4,7,2019
DJ Bravo (CSK),2019-2019,12,9,4,80,27,16.00,66,121.21,-,-,-,6,3,2019
SE Rutherford (DC),2019-2019,7,7,2,73,28*,14.60,54,135.18,-,-,-,2,7,2019
LS Livingstone (RR),2019-2019,4,4,1,70,44,23.33,48,145.83,-,-,-,6,5,2019
STR Binny (RR),2019-2019,8,5,2,70,33*,23.33,40,175.00,-,-,1,5,4,2019
JC Archer (RR),2019-2019,11,5,3,67,27*,33.50,40,167.50,-,-,-,4,4,2019
M Vijay (CSK),2019-2019,2,2,-,64,38,32.00,61,104.91,-,-,-,6,1,2019
DJ Hooda (SRH),2019-2019,11,7,1,64,20,10.66,63,101.58,-,-,1,5,1,2019
S Gopal (RR),2019-2019,14,7,3,63,19*,15.75,46,136.95,-,-,2,8,1,2019
AD Nath (RCB),2019-2019,8,5,-,61,24,12.20,57,107.01,-,-,-,5,2,2019
E Lewis (MI),2019-2019,3,3,-,48,32,16.00,52,92.30,-,-,-,4,2,2019
C de Grandhomme (RCB),2019-2019,4,4,1,46,37,15.33,49,93.87,-,-,-,4,2,2019
PP Chawla (KKR),2019-2019,13,5,2,42,14*,14.00,37,113.51,-,-,-,4,2,2019
R Ashwin (KXIP),2019-2019,14,6,1,42,17*,8.40,28,150.00,-,-,2,3,3,2019
S Dube (RCB),2019-2019,4,4,1,40,24,13.33,33,121.21,-,-,-,1,3,2019
YK Pathan (SRH),2019-2019,10,8,5,40,16*,13.33,45,88.88,-,-,1,1,1,2019
RK Singh (KKR),2019-2019,5,3,1,37,30,18.50,34,108.82,-,-,-,1,2,2019
Rashid Khan (SRH),2019-2019,15,8,3,34,17*,6.80,23,147.82,-,-,3,2,2,2019
MJ Santner (CSK),2019-2019,4,2,1,32,22,32.00,23,139.13,-,-,-,0,3,2019
CH Morris (DC),2019-2019,9,6,-,32,17,5.33,37,86.48,-,-,3,1,2,2019
R Tewatia (DC),2019-2019,5,4,3,26,11*,26.00,22,118.18,-,-,-,2,1,2019
UT Yadav (RCB),2019-2019,11,7,5,25,14,12.50,25,100.00,-,-,-,3,1,2019
A Mishra (DC),2019-2019,11,4,2,21,8,10.50,24,87.50,-,-,-,2,0,2019
Harpreet Brar (KXIP),2019-2019,2,1,1,20,20*,0.00,12,166.66,-,-,-,2,1,2019
P Ray Barman (RCB),2019-2019,1,1,-,19,19,19.00,24,79.16,-,-,-,2,0,2019
BCJ Cutting (MI),2019-2019,3,3,1,18,13*,9.00,17,105.88,-,-,-,1,1,2019
K Gowtham (RR),2019-2019,7,4,1,18,9,6.00,19,94.73,-,-,-,1,1,2019
KMA Paul (DC),2019-2019,8,6,1,18,7,3.60,24,75.00,-,-,2,1,1,2019
Prabhsimran Singh (KXIP),2019-2019,1,1,-,16,16,16.00,17,94.11,-,-,-,1,1,2019
SD Lad (MI),2019-2019,1,1,-,15,15,15.00,13,115.38,-,-,-,1,1,2019
AS Joseph (MI),2019-2019,3,2,2,15,15*,0.00,13,115.38,-,-,-,2,0,2019
SN Thakur (CSK),2019-2019,10,3,1,14,12*,7.00,7,200.00,-,-,1,1,1,2019
K Rabada (DC),2019-2019,12,4,1,14,9,4.66,15,93.33,-,-,1,0,1,2019
Kuldeep Yadav (KKR),2019-2019,9,4,2,12,10*,6.00,8,150.00,-,-,2,1,0,2019
RD Chahar (MI),2019-2019,13,4,2,12,10,6.00,11,109.09,-,-,1,2,0,2019
B Kumar (SRH),2019-2019,15,5,2,12,7*,4.00,19,63.15,-,-,-,1,0,2019
CR Brathwaite (KKR),2019-2019,2,2,-,11,6,5.50,10,110.00,-,-,-,1,0,2019
MJ McClenaghan (MI),2019-2019,5,4,1,11,10,3.66,16,68.75,-,-,1,2,0,2019
I Sharma (DC),2019-2019,13,3,3,10,10*,0.00,3,333.33,-,-,-,1,1,2019
Shakib Al Hasan (SRH),2019-2019,3,1,-,9,9,9.00,10,90.00,-,-,-,0,0,2019
TG Southee (RCB),2019-2019,3,1,1,9,9*,0.00,9,100.00,-,-,-,0,0,2019
KC Cariappa (KKR),2019-2019,1,1,1,9,9*,0.00,3,300.00,-,-,-,0,1,2019
H Klaasen (RCB),2019-2019,3,2,-,9,6,4.50,10,90.00,-,-,-,0,0,2019
Abhishek Sharma (SRH),2019-2019,3,3,1,9,5*,4.50,9,100.00,-,-,-,1,0,2019
P Negi (RCB),2019-2019,7,4,-,9,5,2.25,12,75.00,-,-,2,1,0,2019
MK Lomror (RR),2019-2019,2,1,-,8,8,8.00,3,266.66,-,-,-,2,0,2019
NS Naik (KKR),2019-2019,1,1,-,7,7,7.00,16,43.75,-,-,-,1,0,2019
RK Bhui (SRH),2019-2019,1,1,-,7,7,7.00,12,58.33,-,-,-,0,0,2019
DL Chahar (CSK),2019-2019,17,2,-,7,7,3.50,9,77.77,-,-,1,1,0,2019
TA Boult (DC),2019-2019,5,3,2,7,6,7.00,4,175.00,-,-,-,0,1,2019
J Suchith (DC),2019-2019,1,1,-,6,6,6.00,15,40.00,-,-,-,0,0,2019
IS Sodhi (RR),2019-2019,2,1,-,6,6,6.00,11,54.54,-,-,-,0,0,2019
Sandeep Sharma (SRH),2019-2019,11,2,2,6,5*,0.00,3,200.00,-,-,-,1,0,2019
M Markande (MI),2019-2019,3,2,1,6,6,6.00,5,120.00,-,-,-,1,0,2019
YS Chahal (RCB),2019-2019,14,3,1,6,4,3.00,16,37.50,-,-,-,0,0,2019
DS Kulkarni (RR),2019-2019,10,1,1,5,5*,0.00,3,166.66,-,-,-,1,0,2019
KK Nair (KXIP),2019-2019,1,1,-,5,5,5.00,6,83.33,-,-,-,0,0,2019
DR Shorey (CSK),2019-2019,1,1,-,5,5,5.00,8,62.50,-,-,-,0,0,2019
Rasikh Salam (MI),2019-2019,1,1,1,5,5*,0.00,4,125.00,-,-,-,0,0,2019
Avesh Khan (DC),2019-2019,1,1,1,4,4*,0.00,3,133.33,-,-,-,1,0,2019
GH Vihari (DC),2019-2019,2,2,-,4,2,2.00,8,50.00,-,-,-,0,0,2019
Mohammed Siraj (RCB),2019-2019,9,4,3,4,3*,4.00,14,28.57,-,-,-,0,0,2019
VR Aaron (RR),2019-2019,5,1,1,3,3*,0.00,7,42.85,-,-,-,0,0,2019
BB Sran (MI),2019-2019,2,1,1,3,3*,0.00,3,100.00,-,-,-,0,0,2019
GC Viljoen (KXIP),2019-2019,6,3,1,3,2*,1.50,7,42.85,-,-,1,0,0,2019
M Ashwin (KXIP),2019-2019,10,3,2,3,1*,3.00,5,60.00,-,-,-,0,0,2019
AJ Turner (RR),2019-2019,4,4,1,3,3*,1.00,10,30.00,-,-,3,0,0,2019
NA Saini (RCB),2019-2019,13,2,1,2,2,2.00,4,50.00,-,-,-,0,0,2019
Harbhajan Singh (CSK),2019-2019,11,1,-,1,1,1.00,3,33.33,-,-,-,0,0,2019
HF Gurney (KKR),2019-2019,8,1,1,1,1*,0.00,5,20.00,-,-,-,0,0,2019
Basil Thampi (SRH),2019-2019,3,1,1,1,1*,0.00,1,100.00,-,-,-,0,0,2019
Mohammed Shami (KXIP),2019-2019,14,2,1,1,1*,1.00,2,50.00,-,-,1,0,0,2019
Washington Sundar (RCB),2019-2019,3,2,-,1,1,0.50,3,33.33,-,-,1,0,0,2019
JD Unadkat (RR),2019-2019,11,4,3,1,1,1.00,3,33.33,-,-,-,0,0,2019
JL Denly (KKR),2019-2019,1,1,-,-,-,0.00,1,0.00,-,-,1,0,0,2019
Imran Tahir (CSK),2019-2019,17,1,1,-,0*,0.00,0,0.00,-,-,-,0,0,2019
DW Steyn (RCB),2019-2019,2,1,1,-,0*,0.00,0,0.00,-,-,-,0,0,2019
SW Billings (CSK),2019-2019,1,1,-,-,-,0.00,4,0.00,-,-,1,0,0,2019
AJ Tye (KXIP),2019-2019,6,1,1,-,0*,0.00,2,0.00,-,-,-,0,0,2019
MM Sharma (CSK),2019-2019,1,1,1,-,0*,0.00,2,0.00,-,-,-,0,0,2019
M Prasidh Krishna (KKR),2019-2019,11,1,-,-,-,0.00,2,0.00,-,-,1,0,0,2019
KK Ahmed (SRH),2019-2019,9,1,-,-,-,0.00,1,0.00,-,-,1,0,0,2019
S Lamichhane (DC),2019-2019,6,1,-,-,-,0.00,1,0.00,-,-,1,0,0,2019
Y Prithvi Raj (KKR),2019-2019,2,1,1,-,0*,0.00,1,0.00,-,-,-,0,0,2019
S Kaul (SRH),2019-2019,7,2,1,-,0*,0.00,1,0.00,-,-,1,0,0,2019
HV Patel (DC),2019-2019,2,2,1,-,0*,0.00,2,0.00,-,-,1,0,0,2019
JJ Bumrah (MI),2019-2019,16,2,2,-,0*,0.00,1,0.00,-,-,-,0,0,2019
Mujeeb Ur Rahman (KXIP),2019-2019,5,3,2,-,0*,0.00,4,0.00,-,-,1,0,0,2019
